集計年,年齢,所定内給与額（万円）,年間賞与その他特別給与額（万円）,一人当たり賃金（万円）
2010,年齢計,29.4853,75.9365,429.7601
2010,～19歳,16.8445,12.5918,214.7264
2010,20～24歳,19.5045,33.6702,267.7245
2010,25～29歳,22.8773,53.1999,327.7273
2010,30～34歳,26.4393,65.6953,382.9671
2010,35～39歳,29.9262,78.9483,438.0621
2010,40～44歳,33.4532,94.2678,495.7058
2010,45～49歳,36.0381,105.5124,537.97
2010,50～54歳,36.3652,104.5838,540.9662
2010,55～59歳,34.3809,92.2,504.7703
2010,60～64歳,26.1222,50.3201,363.7864
2010,65～69歳,24.5271,33.9219,328.2473
2010,70歳～,23.6159,27.7592,311.1501
2011,年齢計,29.5009,79.5367,433.5473
2011,～19歳,16.5465,10.8336,209.3921
2011,20～24歳,19.5921,35.1096,270.2148
2011,25～29歳,22.8739,57.3415,331.8278
2011,30～34歳,26.2688,69.6275,384.8534
2011,35～39歳,29.81,82.2006,439.9211
2011,40～44歳,33.3215,97.2109,497.0694
2011,45～49歳,35.9747,109.0066,540.7024
2011,50～54歳,36.3724,109.039,545.5082
2011,55～59歳,34.4463,96.3392,509.6949
2011,60～64歳,25.924,51.0236,362.1117
2011,65～69歳,23.7055,35.0745,319.5403
2011,70歳～,25.8621,28.9927,339.3373
2012,年齢計,29.6848,79.5736,435.7911
2012,～19歳,16.6545,9.6063,209.4605
2012,20～24歳,19.5455,32.8173,267.3632
2012,25～29歳,22.8645,56.4921,330.8661
2012,30～34歳,26.3038,67.6851,383.3306
2012,35～39歳,29.7676,81.2025,438.4131
2012,40～44歳,33.01,96.8879,493.008
2012,45～49歳,36.0789,109.4417,542.388
2012,50～54歳,36.918,111.5317,554.5476
2012,55～59歳,35.2852,100.5238,523.9464
2012,60～64歳,25.9834,48.9616,360.7624
2012,65～69歳,24.2762,31.3905,322.7045
2012,70歳～,25.8366,27.4274,337.4668
2013,年齢計,29.4785,78.1873,431.9288
2013,～19歳,16.5037,10.5207,208.5656
2013,20～24歳,19.5594,32.0634,266.7765
2013,25～29歳,22.8025,56.0762,329.7065
2013,30～34歳,26.061,66.9826,379.7141
2013,35～39歳,29.344,79.7124,431.8403
2013,40～44歳,32.58,94.4503,485.4098
2013,45～49歳,35.4548,105.59,531.0476
2013,50～54歳,36.6477,109.6098,549.3827
2013,55～59歳,34.8694,98.0591,516.4924
2013,60～64歳,26.1669,48.5681,362.571
2013,65～69歳,24.6166,32.4282,327.827
2013,70歳～,23.3213,25.4932,305.3488
2014,年齢計,30.0043,82.6238,442.6749
2014,～19歳,16.8149,10.5194,212.2977
2014,20～24歳,19.8377,33.4323,271.4843
2014,25～29歳,23.1224,59.3874,336.8567
2014,30～34歳,26.4011,70.5923,387.4061
2014,35～39歳,29.7561,82.6929,439.7664
2014,40～44歳,32.6623,96.7127,488.6607
2014,45～49歳,35.8945,110.8242,541.5577
2014,50～54歳,37.3086,116.2347,563.9382
2014,55～59歳,36.0738,106.906,539.7915
2014,60～64歳,26.5512,53.135,371.7498
2014,65～69歳,24.9609,32.3645,331.8947
2014,70歳～,25.0638,26.7133,327.4789
2015,年齢計,30.3481,87.3531,451.5308
2015,～19歳,17.2024,10.6319,217.0613
2015,20～24歳,20.1053,34.5959,275.8598
2015,25～29歳,23.503,62.7077,344.7434
2015,30～34歳,26.8506,75.8482,398.0556
2015,35～39歳,29.8752,87.1802,445.6828
2015,40～44歳,33.0018,101.0219,497.044
2015,45～49歳,36.0749,116.369,549.2677
2015,50～54歳,37.7275,124.4288,577.1588
2015,55～59歳,36.4149,112.8009,549.7794
2015,60～64歳,27.1584,58.0707,383.9718
2015,65～69歳,25.1589,35.799,337.7054
2015,70歳～,25.4537,27.4156,332.8606
2016,年齢計,30.3618,87.0833,451.4245
2016,～19歳,17.4069,11.3493,220.2319
2016,20～24歳,20.4529,33.8828,279.3172
2016,25～29歳,23.7434,62.697,347.6175
2016,30～34歳,27.2091,76.9029,403.4125
2016,35～39歳,30.1878,88.2188,450.472
2016,40～44歳,32.8489,100.3965,494.5837
2016,45～49歳,35.6722,115.797,543.8635
2016,50～54歳,37.3727,121.9094,570.3818
2016,55～59歳,36.3025,113.3315,548.9616
2016,60～64歳,27.0051,56.9115,380.9723
2016,65～69歳,25.3582,31.3155,335.6134
2016,70歳～,25.2147,25.5908,328.1672
2017,年齢計,30.3855,88.1637,452.79
2017,～19歳,17.5787,12.9031,223.8481
2017,20～24歳,20.688,36.0138,284.2693
2017,25～29歳,23.9297,63.4619,350.6187
2017,30～34歳,27.275,78.1022,405.4027
2017,35～39歳,30.1497,89.2544,451.0507
2017,40～44歳,32.7442,100.729,493.6595
2017,45～49歳,35.1018,113.5348,534.7568
2017,50～54歳,37.1103,123.5557,568.8791
2017,55～59歳,36.2013,114.9591,549.3744
2017,60～64歳,27.3435,59.1627,387.2841
2017,65～69歳,24.8557,32.1882,330.4567
2017,70歳～,25.4651,25.9389,331.5203
2018,年齢計,30.5317,90.7585,457.1391
2018,～19歳,17.81,13.5415,227.2619
2018,20～24歳,20.9889,37.9978,289.8645
2018,25～29歳,24.0407,65.9225,354.4106
2018,30～34歳,27.3202,80.7821,408.6249
2018,35～39歳,30.2182,92.3717,454.9901
2018,40～44歳,32.7588,103.9468,497.0523
2018,45～49歳,35.1512,116.4532,538.2675
2018,50～54歳,37.1564,125.0261,570.9023
2018,55～59歳,36.7922,119.1745,560.6812
2018,60～64歳,27.6668,61.8498,393.8517
2018,65～69歳,24.3454,31.5499,323.6953
2018,70歳～,23.9018,23.9611,310.7831
2019,年齢計,30.6037,91.6137,458.8585
2019,～19歳,17.9461,13.2345,228.588
2019,20～24歳,21.124,37.8785,291.3661
2019,25～29歳,24.3577,67.4279,359.7207
2019,30～34歳,27.5327,82.2068,412.5987
2019,35～39歳,30.4523,93.0771,458.5043
2019,40～44歳,32.8389,103.927,497.9932
2019,45～49歳,34.8563,114.9398,533.216
2019,50～54歳,36.9498,126.1418,569.5394
2019,55～59歳,36.3731,120.9288,557.4065
2019,60～64歳,28.1273,65.382,402.9091
2019,65～69歳,24.7492,37.9633,334.9536
2019,70歳～,23.4337,22.863,304.0671
2020,年齢計,30.7699,90.5751,459.8133
2020,～19歳,17.9613,12.6981,228.2339
2020,20～24歳,21.2013,37.8118,292.228
2020,25～29歳,24.4639,66.5085,360.0753
2020,30～34歳,27.4354,79.5016,408.7267
2020,35～39歳,30.5191,93.5433,459.773
2020,40～44歳,32.9857,103.6618,499.4903
2020,45～49歳,34.7371,113.3056,530.1504
2020,50～54歳,36.8029,121.8455,563.48
2020,55～59歳,36.8583,119.022,561.3213
2020,60～64歳,28.9291,67.0477,414.1967
2020,65～69歳,25.736,36.3435,345.1754
2020,70歳～,24.7872,27.2669,324.7133
2021,年齢計,30.7437,87.5543,456.4784
2021,～19歳,18.2532,14.3597,233.3982
2021,20～24歳,21.3122,37.6087,293.3556
2021,25～29歳,24.6179,64.8127,360.2277
2021,30～34歳,27.5824,77.8424,408.8309
2021,35～39歳,30.502,91.0196,457.0433
2021,40～44歳,32.7998,100.6075,494.2045
2021,45～49歳,34.4281,106.8462,519.983
2021,50～54歳,36.6229,117.229,556.7042
2021,55～59歳,36.5533,114.6678,553.307
2021,60～64歳,29.2765,66.1305,417.4491
2021,65～69歳,25.9774,36.0048,347.7341
2021,70歳～,24.3302,25.206,317.1684
